card_id,name,url,status
1,Blue-eyes White Dragon,https://yugioh-fm-db.pages.dev/cards/1/,OK
2,Mystical Elf,https://yugioh-fm-db.pages.dev/cards/2/,OK
3,Hitotsu-me Giant,https://yugioh-fm-db.pages.dev/cards/3/,OK
4,Baby Dragon,https://yugioh-fm-db.pages.dev/cards/4/,OK
5,Ryu-kishin,https://yugioh-fm-db.pages.dev/cards/5/,OK
6,Feral Imp,https://yugioh-fm-db.pages.dev/cards/6/,OK
7,Winged Dragon #1,https://yugioh-fm-db.pages.dev/cards/7/,OK
8,Mushroom Man,https://yugioh-fm-db.pages.dev/cards/8/,OK
9,Shadow Specter,https://yugioh-fm-db.pages.dev/cards/9/,OK
10,Blackland Fire Dragon,https://yugioh-fm-db.pages.dev/cards/10/,OK
11,Sword Arm of Dragon,https://yugioh-fm-db.pages.dev/cards/11/,OK
12,Swamp Battleguard,https://yugioh-fm-db.pages.dev/cards/12/,OK
13,Tyhone,https://yugioh-fm-db.pages.dev/cards/13/,OK
14,Battle Steer,https://yugioh-fm-db.pages.dev/cards/14/,OK
15,Flame Swordsman,https://yugioh-fm-db.pages.dev/cards/15/,OK
16,Time Wizard,https://yugioh-fm-db.pages.dev/cards/16/,OK
17,Right Leg of the Forbidden One,https://yugioh-fm-db.pages.dev/cards/17/,OK
18,Left Leg of the Forbidden One,https://yugioh-fm-db.pages.dev/cards/18/,OK
19,Right Arm of the Forbidden One,https://yugioh-fm-db.pages.dev/cards/19/,OK
20,Left Arm of the Forbidden One,https://yugioh-fm-db.pages.dev/cards/20/,OK
21,Exodia the Forbidden,https://yugioh-fm-db.pages.dev/cards/21/,OK
22,Summoned Skull,https://yugioh-fm-db.pages.dev/cards/22/,OK
23,The Wicked Worm Beast,https://yugioh-fm-db.pages.dev/cards/23/,OK
24,Skull Servant,https://yugioh-fm-db.pages.dev/cards/24/,OK
25,Horn Imp,https://yugioh-fm-db.pages.dev/cards/25/,OK
26,Battle Ox,https://yugioh-fm-db.pages.dev/cards/26/,OK
27,Beaver Warrior,https://yugioh-fm-db.pages.dev/cards/27/,OK
28,Rock Ogre Grotto #1,https://yugioh-fm-db.pages.dev/cards/28/,OK
29,Mountain Warrior,https://yugioh-fm-db.pages.dev/cards/29/,OK
30,Zombie Warrior,https://yugioh-fm-db.pages.dev/cards/30/,OK
31,Koumori Dragon,https://yugioh-fm-db.pages.dev/cards/31/,OK
