id,name,url,drops_count,deck_count,status
4,Villager1,https://yugioh-fm-db.pages.dev/duelists/4/,166,27,OK
2,Teana,https://yugioh-fm-db.pages.dev/duelists/2/,80,21,OK
3,Jono,https://yugioh-fm-db.pages.dev/duelists/3/,189,23,OK
1,Simon Muran,https://yugioh-fm-db.pages.dev/duelists/1/,171,32,OK
10,Weevil Underwood,https://yugioh-fm-db.pages.dev/duelists/10/,357,157,OK
6,Villager3,https://yugioh-fm-db.pages.dev/duelists/6/,508,169,OK
5,Villager2,https://yugioh-fm-db.pages.dev/duelists/5/,463,165,OK
9,Rex Raptor,https://yugioh-fm-db.pages.dev/duelists/9/,391,83,OK
7,Seto,https://yugioh-fm-db.pages.dev/duelists/7/,344,81,OK
8,Heishin,https://yugioh-fm-db.pages.dev/duelists/8/,318,64,OK
11,Mai Valentine,https://yugioh-fm-db.pages.dev/duelists/11/,252,120,OK
12,Bandit Keith,https://yugioh-fm-db.pages.dev/duelists/12/,286,124,OK
13,Shadi,https://yugioh-fm-db.pages.dev/duelists/13/,474,118,OK
17,Kaiba,https://yugioh-fm-db.pages.dev/duelists/17/,234,99,OK
20,Teana 2nd,https://yugioh-fm-db.pages.dev/duelists/20/,86,40,OK
19,Jono 2nd,https://yugioh-fm-db.pages.dev/duelists/19/,218,51,OK
16,Isis,https://yugioh-fm-db.pages.dev/duelists/16/,241,101,OK
15,Pegasus,https://yugioh-fm-db.pages.dev/duelists/15/,269,100,OK
14,Yami Bakura,https://yugioh-fm-db.pages.dev/duelists/14/,299,128,OK
18,Mage Soldier,https://yugioh-fm-db.pages.dev/duelists/18/,360,150,OK
22,High Mage Secmeton,https://yugioh-fm-db.pages.dev/duelists/22/,332,145,OK
23,Forest Mage,https://yugioh-fm-db.pages.dev/duelists/23/,346,87,OK
21,Ocean Mage,https://yugioh-fm-db.pages.dev/duelists/21/,441,87,OK
24,High Mage Anubisius,https://yugioh-fm-db.pages.dev/duelists/24/,404,167,OK
25,Mountain Mage,https://yugioh-fm-db.pages.dev/duelists/25/,248,53,OK
26,High Mage Atenza,https://yugioh-fm-db.pages.dev/duelists/26/,333,149,OK
27,Desert Mage,https://yugioh-fm-db.pages.dev/duelists/27/,367,58,OK
28,High Mage Martis,https://yugioh-fm-db.pages.dev/duelists/28/,555,120,OK
30,High Mage Kepura,https://yugioh-fm-db.pages.dev/duelists/30/,295,165,OK
29,Meadow Mage,https://yugioh-fm-db.pages.dev/duelists/29/,206,70,OK
34,Guardian Neku,https://yugioh-fm-db.pages.dev/duelists/34/,317,87,OK
32,Seto 2nd,https://yugioh-fm-db.pages.dev/duelists/32/,367,94,OK
33,Guardian Sebek,https://yugioh-fm-db.pages.dev/duelists/33/,329,123,OK
31,Labyrinth Mage,https://yugioh-fm-db.pages.dev/duelists/31/,499,93,OK
38,Nitemare,https://yugioh-fm-db.pages.dev/duelists/38/,257,70,OK
36,Seto 3rd,https://yugioh-fm-db.pages.dev/duelists/36/,315,63,OK
37,DarkNite,https://yugioh-fm-db.pages.dev/duelists/37/,331,91,OK
35,Heishin 2nd,https://yugioh-fm-db.pages.dev/duelists/35/,328,74,OK
39,Duel Master K,https://yugioh-fm-db.pages.dev/duelists/39/,371,32,OK
